LEVEL1_FK	LEVEL2_FK	DESCRIPT	DESCRIPT2	MODELNUM	INVNUM
12001	2796001	ROUND LAPEL PIN DIAMONG	PIN JEWELRY NONE, 14KT, 5.90 Grams; ROUND LAPEL PIN DIAMONG		31623-5
20001	2585001	12 PC SOCKET SET IN CASE	SOCKET TOOLS-HAND CRAFTSMAN 934746; 12 PC SOCKET SET IN CASE	934746	30506-4
12001	2338001	CHARM	PENDANT/CHARM JEWELRY NONE, 925, 4.80 Grams; CHARM		I-563
12001	2339001	LADIES RING W/DIAMONDS	RING JEWELRY C, 10KT, 2.50 Grams; LADIES RING W/DIAMONDS		31844-1
12001	2339001	RING W/STONES	RING JEWELRY NONE, 10KT, 8.40 Grams; RING W/STONES		I-230
8001	2223001	HANDGUN 1 MAG	PISTOL FIREARM GLOCK 20C, #NXC195, 10 MM, SEMI-AUTOMATIC; HANDGUN 1 MAG	20C	G-32622-1
8001	2701001	HANDGUN	REVOLVER FIREARM H&R ARMS DEFENDER, #13618, 38, REVOLVER; HANDGUN	DEFENDER	G-30813-2
12001	2339001	LADIES RING W/DIAMONDS	RING JEWELRY NONE, 14KT, 4.10 Grams; LADIES RING W/DIAMONDS		I-108
12001	2338001	CROSS CHARM	PENDANT/CHARM JEWELRY NONE, 14KT, 3.90 Grams; CROSS CHARM		134055-2
21001	3059001	ANGLE GRINDER	GRINDER TOOLS-POWER RYOBI AG402, #AB124570622; ANGLE GRINDER	AG402	32570-1
12001	2337001	LADIES NECKLACE	NECKLACE JEWELRY NONE, 14KT, 5.60 Grams; LADIES NECKLACE		33153-1
12001	2339001	LADIES RING W/DIAMONDS	RING JEWELRY NONE, 18KT, 2.90 Grams; LADIES RING W/DIAMONDS		I-376
8001	2223001	BERETTA 8040 .40 HANDGUN 1 MAG	PISTOL FIREARM BERETTA 8040 COUGAR, #070818MC, .40 CALIBER, SEMI-AUTOMATIC; BERETTA 8040 .40 HANDGUN 1 MAG	8040 COUGAR	G-235148-1
12001	2337001	NECKLACE	NECKLACE JEWELRY NONE, 18KT, 54.00 Grams; NECKLACE		I-757
12001	2339001	MANS RING W/STONE	RING JEWELRY NONE, 10KT, 8.00 Grams; MANS RING W/STONE		I-210
12001	2339001	HARLEY DAVIDSON RING	RING JEWELRY NONE, 925, 20.30 Grams; HARLEY DAVIDSON RING		33736-3
12001	2339001	LADIES RING W/STONES	RING JEWELRY NONE, 14KT, 3.10 Grams; LADIES RING W/STONES		I-268
12001	2333001	BRACELET	BRACELET JEWELRY NONE, 14KT, 109.00 Grams; BRACELET		I-929
12001	2339001	LADIES RING W/STONE	RING JEWELRY ADL, 14KT, 3.90 Grams; LADIES RING W/STONE		235390-1
12001	2338001	CHARM	PENDANT/CHARM JEWELRY NONE, 18KT, 4.10 Grams; CHARM		32639-1
12001	2339001	LADIES RING W/DIAMONDS	RING JEWELRY NONE, 14KT, 5.70 Grams; LADIES RING W/DIAMONDS		I-111
12001	2338001	BUTTERFLY CHARM	PENDANT/CHARM JEWELRY NONE, 14KT, 5.90 Grams; BUTTERFLY CHARM		30919-3
8001	2223001	FNH FNS-40 .40 HANDGUN 1 MAG	PISTOL FIREARM FNH FNS-40, #GKU0053624, .40 CALIBER, SEMI-AUTOMATIC; FNH FNS-40 .40 HANDGUN 1 MAG	FNS-40	G-31776-2
12001	2339001	LADIES RING BAND	RING JEWELRY NONE, 10KT, 4.80 Grams; LADIES RING BAND		134747-2
12001	2333001	BRACELET	BRACELET JEWELRY NONE, 18KT, 26.20 Grams; BRACELET		I-731
8001	2223001	BRYCO 38 .380 HANDGUN IN BOX 2 MAGS	PISTOL FIREARM BRYCO 38, #269905, 380, SEMI-AUTOMATIC; BRYCO 38 .380 HANDGUN IN BOX 2 MAGS	38	G-33658-1
12001	2339001	LADIES RING W/STONES	RING JEWELRY NONE, 10KT, 2.50 Grams; LADIES RING W/STONES		30480-1
8001	2224001	RIFLE W/1 MAG	RIFLE FIREARM SMITH & WESSON M&P-15, #SV86023, 5.56 MM, SEMI-AUTOMATIC; RIFLE W/1 MAG	M&P-15	G-32719-2
12001	2338001	CHARM	PENDANT/CHARM JEWELRY TIFFANY, 925, 9.40 Grams; CHARM		133963-5
12001	2339001	LADIES RING W/STONES	RING JEWELRY NONE, 14KT, 13.50 Grams; LADIES RING W/STONES		31658-2
12001	2338001	STAR FISH CHARM	PENDANT/CHARM JEWELRY NONE, 14KT, 2.70 Grams; STAR FISH CHARM		30421-7
12001	2339001	MANS RING W/STONE	RING JEWELRY NONE, 10KT, 5.90 Grams; MANS RING W/STONE		I-269
12001	2337001	LADIES MESH NECKLACE	NECKLACE JEWELRY NONE, 14KT, 18.60 Grams; LADIES MESH NECKLACE		31192-1
21001	3707001	COIL SPRAYER	SPRAYER TOOLS-POWER SPEEDCLEAN CJ-125, #SC027729; COIL SPRAYER	CJ-125	134143-1
12001	2339001	FILAGREE RING	RING JEWELRY NONE, 14KT, 2.40 Grams; FILAGREE RING		134362-1
20001	2620001	BOX WRENCH SET	WRENCH TOOLS-HAND GEARWRENCH 89099; BOX WRENCH SET	89099	31614-4
21001	3840001	FLOOR SAW	SAW TOOLS-POWER SKIL 3601, #310; FLOOR SAW	3601	235183-2
12001	2336001	LADIES EARRINGS W/DIAMONDS	EARRINGS JEWELRY NONE, 14KT, 7.30 Grams; LADIES EARRINGS W/DIAMONDS		I-862
21001	2638001	1/2 CORDED DRILL                                                                                                                                                                                       "	DRILL TOOLS-POWER DEWALT DW130V, #581887; 1/2 CORDED DRILL                                                                                                                                             "	DW130V	32567-1
12001	2337001	NECKLACE	NECKLACE JEWELRY NONE, PLAT, 14.00 Grams; NECKLACE		I-756
12001	2339001	LADIES RING W/STONES	RING JEWELRY NONE, 925, 6.60 Grams; LADIES RING W/STONES		33204-8
4001	2864001	10 OZ SILVER BAR	SLUG COINS JOHNSON MATTHEY, #A051912; 10 OZ SILVER BAR		33340-1
12001	2339001	LADIES RING W/STONES	RING JEWELRY NONE, 14KT, 5.80 Grams; LADIES RING W/STONES		I-875
12001	2339001	LADIES EARRINGS W/STONES	RING JEWELRY NONE, 925, 4.30 Grams; LADIES EARRINGS W/STONES		I-672
12001	2339001	LADIES RING W/DIAMONDS	RING JEWELRY NAJ, 14KT, 6.70 Grams; LADIES RING W/DIAMONDS		134235-3
12001	2339001	MANS RING W/DIAMONDS	RING JEWELRY NONE, 14KT, 5.80 Grams; MANS RING W/DIAMONDS		I-214
8001	2223001	HANDGUN 1 MAG BOX	PISTOL FIREARM RUGER LC9S, #453-46347, 9 MM, SEMI-AUTOMATIC; HANDGUN 1 MAG BOX	LC9S	G-235235-1
12001	2339001	RING W/STONE	RING JEWELRY NONE, 14KT, 4.90 Grams; RING W/STONE		I-809
12001	2339001	LADIES RING W/STONE	RING JEWELRY NONE, 14KT, 2.80 Grams; LADIES RING W/STONE		I-799
12001	2337001	NECKLACE	NECKLACE JEWELRY NONE, 14KT, 11.80 Grams; NECKLACE		I-604
12001	2337001	LADIES NECKLACE	NECKLACE JEWELRY LIRM, 10KT, 2.80 Grams; LADIES NECKLACE		33207-1
12001	2333001	BRACELET	BRACELET JEWELRY NONE, 18KT, 25.60 Grams; BRACELET		I-732
20001	2620001	10PC CLAWFOOT WRENCH SET	WRENCH TOOLS-HAND CRAFTSMAN 94363; 10PC CLAWFOOT WRENCH SET	94363	31873-1
12001	2339001	LADIES RING W/STONES	RING JEWELRY NONE, 14KT, 3.00 Grams; LADIES RING W/STONES		134097-2
12001	2339001	LADIES RING W/DIAMONDS	RING JEWELRY FD, 10KT, 2.40 Grams; LADIES RING W/DIAMONDS		I-549
21001	2666001	PALM SANDER	SANDER TOOLS-POWER BLACK & DECKER MS800; PALM SANDER	MS800	33795-1
8001	2224001	RIFLE	RIFLE FIREARM MARLIN 1897, #152787, .22 CALIBER, LEVER; RIFLE	1897	G-234892-1
7001	3491001	LABEL PRINTER	LABELER ELECTRONICS BRADY BMP 21-PLUS; LABEL PRINTER	BMP 21-PLUS	32825-1
12001	2333001	LADIES BRACELET	BRACELET JEWELRY NONE, 14KT, 11.10 Grams; LADIES BRACELET		33761-1
8001	2224001	GUN IN FACTORY BOX 1 MAG	RIFLE FIREARM RUGER AR-556, #856-57204, 5.56 MM, SEMI-AUTOMATIC; GUN IN FACTORY BOX 1 MAG	AR-556	G-235724-1
8001	2701001	HAND GUN IN CASE	REVOLVER FIREARM CHARTER ARMS UNDERCOVER, #13-23760, .38 CALIBER, REVOLVER; HAND GUN IN CASE	UNDERCOVER	G-235060-1
8001	2223001	COLT M1991A1 .45 HANDGUN 1 MAG IN CASE	PISTOL FIREARM COLT M1991A1, #CJ28770, .45 CALIBER, SEMI-AUTOMATIC; COLT M1991A1 .45 HANDGUN 1 MAG IN CASE	M1991A1	G-134746-1
12001	2339001	RING BAND	RING JEWELRY S&S, 18KT, 2.20 Grams; RING BAND		235601-4
8001	2223001	COLT DELTA ELITE 10MM HANDGUN	PISTOL FIREARM COLT DELTA ELITE, #DE25620, 10 MM, SEMI-AUTOMATIC; COLT DELTA ELITE 10MM HANDGUN	DELTA ELITE	G-31228-1
12001	2338001	CHARM	PENDANT/CHARM JEWELRY NONE, 14KT, 2.00 Grams; CHARM		31183-2
12001	2339001	MANS RING AUSTRIA COIN	RING JEWELRY NONE, 14KT, 4.00 Grams; MANS RING AUSTRIA COIN		I-289
12001	2339001	LADIES RING W/STONE	RING JEWELRY M, 14KT, 3.90 Grams; LADIES RING W/STONE		235023-3
12001	2339001	LADIES RING	RING JEWELRY NONE, 14KT, 4.00 Grams; LADIES RING		I-323
12001	2337001	LADIES NECKLACE	NECKLACE JEWELRY AR, 18KT, 8.60 Grams; LADIES NECKLACE		31832-2
12001	2339001	LADIES RING W/DIAMONDS	RING JEWELRY, 14KT, 2.50 Grams; LADIES RING W/DIAMONDS		I-390
12001	2339001	LADIES RING W/DIAMONDS	RING JEWELRY NONE, 14KT, 1.80 Grams; LADIES RING W/DIAMONDS		I-824
21001	2638001	CORDLESS DRILL IN BOX	DRILL TOOLS-POWER BLACK & DECKER BDCDE120C; CORDLESS DRILL IN BOX	BDCDE120C	33090-1
12001	2333001	BRACELET	BRACELET JEWELRY NONE, 14KT, 12.70 Grams; BRACELET		I-734
12001	2338001	EAGLE CHARM	PENDANT/CHARM JEWELRY NONE, 10KT, 5.20 Grams; EAGLE CHARM		I-937
12001	2338001	LADIES DRAGONFLY CHARM	PENDANT/CHARM JEWELRY B, 14KT, 2.30 Grams; LADIES DRAGONFLY CHARM		32748-1
12001	2339001	LADIES RING W/DIAMONDS	RING JEWELRY C, 14KT, 2.10 Grams; LADIES RING W/DIAMONDS		31750-6
12001	2333001	BRACELET	BRACELET JEWELRY NONE, 18KT, 10.60 Grams; BRACELET		I-818
12001	2339001	LADIES RING	RING JEWELRY NONE, 10KT, 1.90 Grams; LADIES RING		I-175
8001	2224001	RIFLE W/SCOPE	RIFLE FIREARM MARLIN 336W, #94012661, 30-30, LEVER; RIFLE W/SCOPE	336W	G-30114-3
12001	2339001	LADIES RING W/DIAMONDS	RING JEWELRY NONE, 14KT, 2.60 Grams; LADIES RING W/DIAMONDS		235333-9
16001	2779001	139 DOLLAR GIFT	GIFT CARD OTHER WALMART, #SC87458604793925523; 139 DOLLAR GIFT		235611-1
8001	2223001	BERETTA PX4 9MM HANDGUN  1 MAG	PISTOL FIREARM BERETTA PX4 STORM, #PZ2000A, 9 MM, SEMI-AUTOMATIC; BERETTA PX4 9MM HANDGUN  1 MAG	PX4 STORM	G-134105-1
12001	2339001	LADIES RING W/DIAMOND	RING JEWELRY NONE, 14KT, 2.50 Grams; LADIES RING W/DIAMOND		I-101
12001	2339001	LADIES RING W/DIAMOND	RING JEWELRY NONE, 14KT, 2.00 Grams; LADIES RING W/DIAMOND		I-103
8001	2225001	SHOT GUN	SHOTGUN FIREARM WINCHESTER 24, #107679, 12 GAUGE, SINGLE-SHOT; SHOT GUN	24	G-33126-1
12001	2332001	LADIES ANKLET	ANKLET JEWELRY ZRW, 14KT, 4.80 Grams; LADIES ANKLET		134344-4
12001	2339001	MENS RING W/ DIAMOND	RING JEWELRY NONE, 10KT, 5.40 Grams; MENS RING W/ DIAMOND		I-156
12001	2339001	LADIES RING	RING JEWELRY NONE, 14KT, 4.30 Grams; LADIES RING		I-106
12001	2339001	RING	RING JEWELRY NONE, 10KT, 3.60 Grams; RING		I-780
12001	2333001	BRACELET	BRACELET JEWELRY NONE, 14KT, 2.40 Grams; BRACELET		I-755
12001	2338001	LADIES CHARM	PENDANT/CHARM JEWELRY NONE, 14KT, 1.70 Grams; LADIES CHARM		32275-4
12001	2337001	LADIES ENCKLACE	NECKLACE JEWELRY NONE, 14KT, 7.40 Grams; LADIES ENCKLACE		134349-2
12001	2339001	LADIES RING BAND	RING JEWELRY NONE, 18KT, 3.90 Grams; LADIES RING BAND		134436-2
12001	2339001	LADIES RING W/STONE	RING JEWELRY NONE, 14KT, 3.80 Grams; LADIES RING W/STONE		I-398
12001	2338001	CHARM	PENDANT/CHARM JEWELRY NONE, 925, 7.20 Grams; CHARM		I-561
8001	2223001	GLOCK 17GEN4 9MM HANDGUN IN CASE	PISTOL FIREARM GLOCK 17GEN4, #BBVT518, 9 MM, SEMI-AUTOMATIC; GLOCK 17GEN4 9MM HANDGUN IN CASE	17GEN4	G-33410-1
7001	3556001	32GB MEMORY CARD	MEMORY CARD ELECTRONICS SCANDISK; 32GB MEMORY CARD		33235-2
12001	2337001	LADIES NECKLACE	NECKLACE JEWELRY AU, 14KT, 3.90 Grams; LADIES NECKLACE		235523-1
20001	2620001	118 PC TOOL SET	WRENCH TOOLS-HAND GEARWRENCH 83001D; 118 PC TOOL SET	83001D	134828-1
12001	2333001	BANGLE BRACELET	BRACELET JEWELRY TIFFANY, 925, 16.60 Grams; BANGLE BRACELET		133963-1
8001	2223001	HANDGUN 1 MAG IN CASE	PISTOL FIREARM GLOCK 24, #HGF172, .40 CALIBER, SEMI-AUTOMATIC; HANDGUN 1 MAG IN CASE	24	G-133863-2
12001	2339001	LADIES RING W/STONES	RING JEWELRY NONE, 14KT, 2.80 Grams; LADIES RING W/STONES		33204-7
8001	2224001	BOLT ACTION RIFLE	RIFLE FIREARM REMINGTON 770, #M71938826, 270WIN, BOLT; BOLT ACTION RIFLE	770	G-134066-4
8001	2224001	RIFLE IN CASE	RIFLE FIREARM FNH SCAR 17S, #HC62469, 7.62X51, SEMI-AUTOMATIC; RIFLE IN CASE	SCAR 17S	G-235118-1
